id;client;carer;time;duration
1;Handcrafted info-mediaries Manager;Movies back-end;2022-08-03T07:40:28;86079
2;Bedfordshire bus incentivize;IB;2022-08-02T20:39:58;98019
3;Tools;Myanmar Product;2022-08-03T05:45:16;93120
4;Shirt methodologies Refined;Producer;2022-08-02T19:59:26;67925
5;Franc;3rd;2022-08-03T12:02:06;25122
6;Forges wireless SDD;zero RAM;2022-08-03T10:04:49;15776
7;Technician;RSS;2022-08-02T18:06:32;6632
8;Grocery implementation;Avon Personal black;2022-08-03T01:37:14;27452
9;Minnesota;mindshare Loan;2022-08-02T21:02:49;22940
10;innovate Hampshire Row;Programmable input Division;2022-08-03T03:57:53;10832
