id;client;address;carer;accesscode;timein;status;timespent
1;FTP;tan;Regional West olive;63342;2022-08-03T01:11:53;UNCOMPLETED;73078
2;Gloves Senior program;Wooden Aruban;Wooden;72082;2022-08-03T03:05:32;UNCOMPLETED;78838
3;instruction;schemas;primary data-warehouse Georgia;69142;2022-08-03T06:42:56;UNCOMPLETED;95416
4;Arizona;Pants;24/7 Technician;99088;2022-08-02T16:33:40;COMPLETED;89444
5;Steel HDD;payment Factors Wooden;Optimization communities Hat;29083;2022-08-03T11:47:35;COMPLETED;79030
6;International South projection;Horizontal;Shoes toolset;80771;2022-08-03T12:38:48;PENDING;8056
7;Web Slovenia;TCP Fantastic;International alarm Eritrea;7099;2022-08-03T04:46:22;PENDING;74009
8;best-of-breed Legacy;Fantastic;Car;37519;2022-08-03T04:40:34;UNCOMPLETED;97683
9;e-services infrastructure;Bermuda;cyan Visionary content-based;30514;2022-08-03T10:49:46;COMPLETED;42592
10;Ergonomic Canada solution-oriented;Solutions repurpose Bedfordshire;Designer;926;2022-08-03T07:21:10;COMPLETED;82590
